epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,993.557,0.59614,0.26255,0.05476,0.40245,0.86576,0.92095,0.9291,0.9549,0.80262,0.93204,0.9403,0.96757,0.92097,0.69478,0.22919,0.40356,0.51599,0.93335,0.0006932,0.0006932,0.0006932
101,1002.78,0.61029,0.27295,0.05996,0.40717,0.87435,0.9427,0.88246,0.94296,0.79001,0.95427,0.89366,0.95672,0.90995,0.73397,0.25738,0.45384,0.67987,0.94582,0.00068,0.00068,0.00068
102,1012.53,0.62225,0.26692,0.05862,0.3967,0.87158,0.93053,0.92468,0.95836,0.80736,0.93808,0.93279,0.96998,0.9187,0.68731,0.23821,0.47406,0.54412,0.93186,0.0006668,0.0006668,0.0006668
103,1021.95,0.59174,0.23008,0.0518,0.3865,0.86078,0.93625,0.92724,0.96058,0.81121,0.94737,0.94031,0.97239,0.92446,0.69575,0.2335,0.48651,0.53473,0.9375,0.0006536,0.0006536,0.0006536
104,1031.81,0.604,0.2503,0.06471,0.40492,0.86386,0.93782,0.93284,0.95606,0.80528,0.95289,0.94776,0.97101,0.91905,0.69345,0.2427,0.48708,0.49558,0.93372,0.0006404,0.0006404,0.0006404
105,1041.55,0.59383,0.22658,0.06635,0.40065,0.86672,0.94025,0.92537,0.95575,0.79922,0.95162,0.93657,0.96921,0.91925,0.69313,0.2414,0.43197,0.51408,0.93328,0.0006272,0.0006272,0.0006272
106,1050.98,0.60608,0.25124,0.05036,0.40418,0.86382,0.92033,0.90112,0.94646,0.79793,0.93366,0.91418,0.96199,0.91195,0.67656,0.23875,0.44815,0.56516,0.92595,0.000614,0.000614,0.000614
107,1060.98,0.59494,0.23526,0.06415,0.3955,0.86548,0.91816,0.92102,0.95294,0.80273,0.941,0.92251,0.96905,0.92127,0.68359,0.23608,0.42146,0.51625,0.92818,0.0006008,0.0006008,0.0006008
108,1071.05,0.60166,0.25424,0.04705,0.40119,0.86582,0.89549,0.92721,0.95104,0.80018,0.90184,0.94403,0.96657,0.91874,0.68879,0.23668,0.40391,0.51957,0.93134,0.0005876,0.0005876,0.0005876
109,1080.69,0.58882,0.24393,0.06085,0.39199,0.86698,0.91449,0.93284,0.9534,0.80381,0.92753,0.9459,0.97011,0.91925,0.70599,0.23654,0.44391,0.50757,0.93544,0.0005744,0.0005744,0.0005744
110,1090.71,0.57683,0.21489,0.0472,0.38318,0.85471,0.89106,0.93097,0.95518,0.80229,0.90555,0.9459,0.96726,0.91719,0.70411,0.24667,0.44669,0.53052,0.93564,0.0005612,0.0005612,0.0005612
111,1100.67,0.58817,0.25553,0.05287,0.39819,0.86158,0.93821,0.92537,0.95993,0.8088,0.94813,0.93657,0.97249,0.91873,0.67758,0.2458,0.39456,0.48514,0.93126,0.000548,0.000548,0.000548
112,1110.45,0.57325,0.22909,0.04964,0.38893,0.86317,0.92361,0.93097,0.95257,0.79713,0.93735,0.94913,0.96966,0.9163,0.69033,0.24099,0.39598,0.48994,0.93783,0.0005348,0.0005348,0.0005348
113,1120.22,0.56532,0.25432,0.06311,0.3832,0.85533,0.92517,0.92268,0.95968,0.8073,0.93831,0.93651,0.9675,0.91598,0.68314,0.2529,0.41394,0.50356,0.93792,0.0005216,0.0005216,0.0005216
